commodity_id,commodity_name,source,code_prefix
castanha_do_para,Castanha-do-pará,pevs,3405
castanha_do_para,Castanha-do-pará,comex,08012100
castanha_do_para,Castanha-do-pará,comex,08012200
castanha_do_para,Castanha-do-pará,comtrade,080121
castanha_do_para,Castanha-do-pará,comtrade,080122
madeira,Madeira,pevs,3433
madeira,Madeira,pevs,3434
madeira,Madeira,pevs,3435
madeira,Madeira,pevs,3450
madeira,Madeira,comex,4401
madeira,Madeira,comex,4402
madeira,Madeira,comex,4403
madeira,Madeira,comex,4407
madeira,Madeira,comtrade,4401
madeira,Madeira,comtrade,4402
madeira,Madeira,comtrade,4403
madeira,Madeira,comtrade,4407
acai,Açaí,pevs,3403
acai,Açaí,pam,45982
acai,Açaí,comex,20079921
cupuacu,Cupuaçu,comex,20079926
banana,Banana,pam,40136
banana,Banana,comex,0803
banana,Banana,comtrade,0803
mandioca,Mandioca,pam,40119
mandioca,Mandioca,comex,07141000
mandioca,Mandioca,comex,11062000
mandioca,Mandioca,comex,11081400
mandioca,Mandioca,comex,19030000
mandioca,Mandioca,comtrade,071410
mandioca,Mandioca,comtrade,110620
mandioca,Mandioca,comtrade,110814
mandioca,Mandioca,comtrade,190300
soja,Soja,pam,40124
soja,Soja,comex,1201
soja,Soja,comex,1507
soja,Soja,comex,2304
soja,Soja,comtrade,1201
soja,Soja,comtrade,1507
soja,Soja,comtrade,2304
milho,Milho,pam,40122
milho,Milho,comex,1005
milho,Milho,comtrade,1005
arroz,Arroz,pam,40102
arroz,Arroz,comex,1006
arroz,Arroz,comtrade,1006
