customs_code,flow,market_nature
C01,import,consumo
C02,re-import,consumo
C03,export,consumo
C03,national-export,consumo
C04,export,processamento
C04,foreign-import,processamento
C04,import,processamento
C04,re-export,processamento
C05,import,processamento
C05,national-export,processamento
C06,import,processamento
C06,import-inward-processing,processamento
C07,export,processamento
C07,import-outward-processing,consumo
C08,import,processamento
C08,import-inward-processing,processamento
C09,import,processamento
C12,export,consumo
C12,import,consumo
C13,export,consumo
C13,import,consumo
C14,export,consumo
C14,import,consumo
C15,export,consumo
C15,import,consumo
